items,Data
p,101000.0
T,298.0
Itx,54200000000.0
Qx,20
outflowLocation,before
fullOrSimpleModel,full
SO2ratio,0.005
O2ratio,0.209
Zgrid,40
Rgrid,80
dt,0.0001
model_mode,normal
Diff_setname,"['OH', 'HO2', 'SO3', 'H2SO4']"
Diff_set,"[0.215, 0.141, 0.126, 0.088]"
sch_name,/Users/jiali/Documents/work/AMT-MION2-Paper/PANDA520-flowtube/PANDA520_flowtube/input_mechanism/SO2_SA.txt
const_comp,"['SO2', 'O2', 'H2O']"
Init_comp,"['OH', 'HO2']"
key_spe_for_plot,H2SO4
plot_spec,"['OH', 'HSO3', 'HO2', 'SO3', 'H2SO4', 'H2O']"
sampleflow,22.5
R1,0.78
L1,50.0
R2,1.04
L2,66.0
file_name,SA_cali_2021-11-181.csv
Q1,"0     10500.0
1     10500.0
2     10500.0
3     10500.0
4     10500.0
5     10500.0
6     10500.0
7     10500.0
8     10500.0
9     10500.0
10    10500.0
11    10500.0
Name: Q1, dtype: float64"
Q2,"0     22500.0
1     22500.0
2     22500.0
3     22500.0
4     22500.0
5     22500.0
6     22500.0
7     22500.0
8     22500.0
9     22500.0
10    22500.0
11    22500.0
Name: Q2, dtype: float64"
const_comp_free,"['H2O', 'O2']"
const_comp_conc_free,"[array([0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.27210937e+15,
       1.45442187e+16, 2.90884375e+16, 4.36326562e+16, 5.81768750e+16,
       6.59357858e+16, 9.01667288e+16, 1.27097472e+17, 2.18163281e+16]), array([2.44314297e+16, 2.44314297e+16, 2.44314297e+16, 2.44314297e+16,
       2.44314297e+16, 2.44314297e+16, 2.44314297e+16, 2.44314297e+16,
       2.44314297e+16, 2.44314297e+16, 2.44314297e+16, 2.44314297e+16])]"
OHconc,"0     0.000000e+00
1     0.000000e+00
2     0.000000e+00
3     5.420478e+07
4     1.084096e+08
5     2.168191e+08
6     3.252287e+08
7     4.336382e+08
8     4.914715e+08
9     6.720839e+08
10    9.473579e+08
11    1.626143e+08
Name: Q1, dtype: float64"
flag_tube,3
