items,Data
p,101000.0
T,298.0
Itx,54200000000.0
Qx,20
outflowLocation,before
fullOrSimpleModel,full
SO2ratio,0.005
O2ratio,0.209
Zgrid,40
Rgrid,80
dt,0.0001
model_mode,normal
Diff_setname,"['OH', 'HO2', 'SO3', 'H2SO4']"
Diff_set,"[0.215, 0.141, 0.126, 0.088]"
sch_name,/Users/jiali/Documents/work/AMT-MION2-Paper/PANDA520-flowtube/PANDA520_flowtube/input_mechanism/SO2_SA.txt
const_comp,"['SO2', 'O2', 'H2O']"
Init_comp,"['OH', 'HO2']"
key_spe_for_plot,H2SO4
plot_spec,"['OH', 'HSO3', 'HO2', 'SO3', 'H2SO4', 'H2O']"
sampleflow,20.0
R1,0.78
L1,41.0
R2,1.04
L2,58.5
file_name,SA_cali_2021-09-10.csv
Q1,"0     22500.0
1     22500.0
2     22500.0
3     22500.0
4     22500.0
5     22500.0
6     22500.0
7     22500.0
8     22500.0
9     22500.0
10    22500.0
Name: Q, dtype: float64"
Q2,"0     22500.0
1     22500.0
2     22500.0
3     22500.0
4     22500.0
5     22500.0
6     22500.0
7     22500.0
8     22500.0
9     22500.0
10    22500.0
Name: Q, dtype: float64"
const_comp_free,[]
const_comp_conc_free,[0]
OHconc,"0     1.200398e+08
1     6.640085e+07
2     9.960128e+07
3     1.187263e+08
4     1.401192e+08
5     1.500125e+08
6     1.690956e+08
7     1.886138e+08
8     1.477077e+08
9     6.640085e+07
10    0.000000e+00
Name: Q, dtype: float64"
flag_tube,2
