items,Data
p,101000.0
T,298.0
Itx,54200000000.0
Qx,20
outflowLocation,before
fullOrSimpleModel,full
SO2ratio,0.005
O2ratio,0.209
Zgrid,40
Rgrid,80
dt,0.0001
model_mode,normal
Diff_setname,"['OH', 'HO2', 'SO3', 'H2SO4']"
Diff_set,"[0.215, 0.141, 0.126, 0.088]"
sch_name,/Users/jiali/Documents/work/AMT-MION2-Paper/PANDA520-flowtube/PANDA520_flowtube/input_mechanism/SO2_SA.txt
const_comp,"['SO2', 'O2', 'H2O']"
Init_comp,"['OH', 'HO2']"
key_spe_for_plot,H2SO4
plot_spec,"['OH', 'HSO3', 'HO2', 'SO3', 'H2SO4', 'H2O']"
sampleflow,17.6
R1,0.78
L1,10.0
R2,1.04
L2,61.0
file_name,SA_cali_2022-02-07.csv
Q1,"0    17600.0
1    17600.0
2    17600.0
3    17600.0
4    17600.0
5    17600.0
6    17600.0
7    17600.0
8    17600.0
Name: Q, dtype: float64"
Q2,"0    17600.0
1    17600.0
2    17600.0
3    17600.0
4    17600.0
5    17600.0
6    17600.0
7    17600.0
8    17600.0
Name: Q, dtype: float64"
const_comp_free,[]
const_comp_conc_free,[0]
OHconc,"0    0.000000e+00
1    1.929260e+07
2    3.858521e+07
3    7.717042e+07
4    1.543408e+08
5    1.929260e+08
6    2.315112e+08
7    2.893891e+08
8    3.858521e+08
Name: Q, dtype: float64"
flag_tube,2
