items,Data
p,101000.0
T,298.0
Itx,54200000000.0
Qx,20
outflowLocation,before
fullOrSimpleModel,full
SO2ratio,0.005
O2ratio,0.209
Zgrid,40
Rgrid,80
dt,0.0001
model_mode,normal
Diff_setname,"['OH', 'HO2', 'SO3', 'H2SO4']"
Diff_set,"[0.215, 0.141, 0.126, 0.088]"
sch_name,/Users/jiali/Documents/work/AMT-MION2-Paper/PANDA520-flowtube/PANDA520_flowtube/input_mechanism/SO2_SA.txt
const_comp,"['SO2', 'O2', 'H2O']"
Init_comp,"['OH', 'HO2']"
key_spe_for_plot,H2SO4
plot_spec,"['OH', 'HSO3', 'HO2', 'SO3', 'H2SO4', 'SO2']"
sampleflow,22.5
R1,0.78
L1,50.0
R2,1.04
L2,68.0
file_name,SA_cali_2021-10-282.csv
Q1,"0    10500.0
1    10500.0
2    10500.0
Name: Q1, dtype: float64"
Q2,"0    22500.0
1    22500.0
2    22500.0
Name: Q2, dtype: float64"
const_comp_free,"['H2O', 'O2']"
const_comp_conc_free,"[array([1.28553660e+17, 1.61529959e+17, 1.81318646e+17]), array([2.44314297e+16, 2.44314297e+16, 2.44314297e+16])]"
OHconc,"0    9.582120e+08
1    1.204010e+09
2    1.351511e+09
dtype: float64"
flag_tube,3
